topic,cognitive,Topic name,Top words
43,F,,alcohol acupuncture cocaine users drug smokers controls smoking dependent nicotine dependence exposure cannabis craving heroin addiction cues induced control cue chronic abstinence heavy mj abusers marijuana alcoholics il abuse prenatal addicts cigarette acupoint abstinent reduced background hiv consumption exposed verum lr deficits matched ecstasy methamphetamine duration fh reactivity acupoints altered term mor relapse relative inflammation addicted np lifetime history outcome circuit drink inflammatory dose withdrawal male hdis drinking drinkers drugs impact needling alcoholism nonsmokers meth alterations responses naive impulsivity session clinical gb stimulant cytokines addictive placebo therapeutic abnormalities current produced cessation deqi intoxication alcoholic sle urine electroacupuncture kg mdma 
45,F,,volume gray voxel gm morphometry grey vbm volumes age density thickness structure abnormalities reductions controls images volumetric loss reduction total correlations matched morphology alterations scores relationship optimized weighted multiple global tissue morphometric sample corrected normal assess lower morphological sex local concentration assessed onset comparisons performed widespread gender negatively relative measures automated wm scale aim individuals focal spm regression mapping comparison atrophy acquired evidence relationships determine education population score purpose detect duration roi manual conducted negative distribution male cohort conclusion volumetry positively size located gmc adult evaluated densities affecting women factors segmented localized ventricular correlate positive regionally clinical addition dup 
46,F,,effective causal network dynamic modeling interactions top interaction sn influence modulation causality ppi fg dcm coupling influences modulated psychophysiological pathways driving connection bayesian equation neuronal human modulatory gating input pc bottom pathway path nodes enhanced strength effect direct mediated pi sem modelling entropy directed forward dependent indirect vice dynamics versa selection thalamocortical assessed aic output startle prepulse interact conditional shaped nonlinear inputs caused inference modulates physiological salience modulate loop reciprocal regulation increasingly intrinsic gcm stochastic computational modulating db influenced highlight cortico paths interplay backward ains bidirectional mn va mimicry strengths tcn conversation amg steps fst gate excitatory quantified gppi 
47,F,,carriers allele gene genotype genetic met polymorphism val rs comt risk httlpr effect dopamine variation mutation genes dat bdnf drd snp homozygous transporter homozygotes repeat interaction serotonin individuals disorders alleles sample nucleotide linked variants receptor expression influence variant polymorphisms genotyped phenotype fmr dyt protein signaling mutations factor evidence ace susceptibility nrg dopaminergic psychiatric genotypes impact catechol vcfs carrying factors maoa influences haplotype status snps methyltransferase diagnosis fragile frax depression modulate premutation deletion neuronal implicated affects slc htt heritable neurotrophic traits vulnerability synaptic dystonia report disorder genome phenotypes promoter enzyme intermediate studied noncarriers tandem molecular contribute mechanism major current sles 
51,F,,ptsd social game attachment trauma partner infant exclusion stress behavior individuals posttraumatic cultural traumatic partners responses cooperation experience death human mother rejection trust oxytocin guilt unfair chinese disorder culture combat mothers offers interactions interaction american played status exposure racial romantic interpersonal survivors experiences playing ipv reputation person friend infants veterans people images maternal video computer women unfamiliar exposed ultimatum fairness paradigm stranger attitudes cooperative influence acceptance political norm cultures play embarrassment east trustworthy caucasian participant traumatized positively familiar games player caps modulate perceived interactive relative distress viewing ingroup trustworthiness consequences western biases earthquake sentiments asians cg interdependent viewed untrustworthy 
52,F,,asd autism social reho controls spectrum individuals disorders children control reduced matched td disorder deficits functioning abnormalities homogeneity developing age autistic abnormal atypical impairments relative adults dysfunction syndrome impaired normal iq communication local people cognition males typical pws asc repetitive ws interaction asds difficulties lower neurotypical altered characterized gender contribute circuitry adolescents neurodevelopmental behaviour impairment eft condition hfa development comparison aberrant developmental phenotype rbd search background severity deficit ks male exhibited fxs behaviors underconnectivity hypoactivation compensatory abilities implicated quotient key abnormality figures embedded adult language nt skills core restricted contagious population chromosome aspects differentiation pdd dld yawn socio growing 
54,F,,age adults children adolescents sleep development aging developmental childhood adolescence performance adult adulthood reduced maturation aged sd normal adolescent decline elderly ages cognitive relative developing change deprivation range late iq ability lower measures compensatory dependent deficits exhibited dd preterm child intelligence birth correlations abilities declines life wakefulness typical vpt girls neurodevelopmental period difficulty functions trajectories reductions primary skills shown night ageing trajectory compensation reduction loss sectional boys trend school underlie risk females expression performed develop alterations positive lifespan exhibit plasticity wake supporting mature immature twenty reliance progressive current improvements maturational nrem engagement total aspect pubertal vlbw youth infants vulnerable 
56,F,,features free sensitivity classifier feature creativity creative validation test selection modeling experimental computational distributed alternative provide neurofeedback search reliable lsf optimal discriminative identification describe separation ideas traditional extraction participant successfully accurate testing assumptions comparison classifiers difficult support generation paradigm performance required issues tools developed dataset established decoding device everyday highly individual require ordinary promising introduce predicted thinking simple gaussian efficacy achieve voxel step diagnosis future mental structure decomposition solution predict mass communication natural constraints constrained recently simulated prediction original variety achieved analyze limitations hsf solutions scheme inside caution priori automatic inferences relevance correctly multiple apply biomarkers exploratory validated fit 
24,F,,stimulation somatosensory tms primary tactile rtms motor transcranial touch tdcs secondary sensory ipsilateral induced muscle repetitive stimulated representation intensity electrical human excitability finger frequency pulse site effect unilateral sensorimotor dbs sm dependent rest emg afferents skin active proprioceptive sensation current forearm leg direct threshold plasticity inputs mep recorded pressure sessions anodal vibration reflex phantom delivered interhemispheric peripheral em input vibrotactile studied normal ct paired local electrode touched neuronal stimulations induce aim perception session itbs inhibitory handed simultaneous flow spinal position amplitude inhibition tbs fes fingers therapeutic roughness device afferent intensities amputation neck induces sep compatible determine withdrawal neurophysiological separate 
55,F,,responses stimulus effect design neuronal dependent paradigm experiment time network event performed induced type comparison block demonstrated visual relative conditions correlates behavioural assess shown reaction underlying addition presentation experimental pre change result comparisons suggested times enhanced modulated scanning presence oxygenation produced factors matched direct absence assessed current studied interaction influence aim elicit pronounced recorded designed distinct conclude free caused conducted aimed knowledge aspects common irrespective paradigms terms explore simple potential modified predominantly reveal allowed robust differentially degree yielded employed opposite session sensitive factorial lead roi report normal widespread typical independently highly evaluate test reverse affected consisting detect complexity confirmed 
